category,id,dataset_split,model,training,attack,status,priority,gpu_hours_estimate,why
B_eval,EV-RASMD-nano-adversarial-snua_go_weak,RASMD,nano,adversarial,snua_go_weak,"MISSING (checkpoint yolo26n_rasmd_pgd exists, never attacked with SWIR)",P1,0.04,RASMD has never been probed with any SWIR-domain attack -- the whole SWIR-attack paper claim is single-dataset without this
B_eval,EV-RASMD-small-standard-aria_medium,RASMD,small,standard,aria_medium,"MISSING (checkpoint yolo26s_rasmd exists, never attacked with SWIR)",P1,0.04,RASMD has never been probed with any SWIR-domain attack -- the whole SWIR-attack paper claim is single-dataset without this
B_eval,EV-RASMD-small-standard-combined_medium,RASMD,small,standard,combined_medium,"MISSING (checkpoint yolo26s_rasmd exists, never attacked with SWIR)",P1,0.04,RASMD has never been probed with any SWIR-domain attack -- the whole SWIR-attack paper claim is single-dataset without this
B_eval,EV-RASMD-small-standard-snua_go_medium,RASMD,small,standard,snua_go_medium,"MISSING (checkpoint yolo26s_rasmd exists, never attacked with SWIR)",P1,0.04,RASMD has never been probed with any SWIR-domain attack -- the whole SWIR-attack paper claim is single-dataset without this
B_eval,EV-RASMD-small-standard-snua_go_weak,RASMD,small,standard,snua_go_weak,"MISSING (checkpoint yolo26s_rasmd exists, never attacked with SWIR)",P1,0.04,RASMD has never been probed with any SWIR-domain attack -- the whole SWIR-attack paper claim is single-dataset without this
B_eval,EV-RASMD-small-adversarial-aria_medium,RASMD,small,adversarial,aria_medium,"MISSING (checkpoint yolo26s_rasmd_pgd exists, never attacked with SWIR)",P1,0.04,RASMD has never been probed with any SWIR-domain attack -- the whole SWIR-attack paper claim is single-dataset without this
B_eval,EV-RASMD-small-adversarial-combined_medium,RASMD,small,adversarial,combined_medium,"MISSING (checkpoint yolo26s_rasmd_pgd exists, never attacked with SWIR)",P1,0.04,RASMD has never been probed with any SWIR-domain attack -- the whole SWIR-attack paper claim is single-dataset without this
B_eval,EV-RASMD-small-adversarial-snua_go_medium,RASMD,small,adversarial,snua_go_medium,"MISSING (checkpoint yolo26s_rasmd_pgd exists, never attacked with SWIR)",P1,0.04,RASMD has never been probed with any SWIR-domain attack -- the whole SWIR-attack paper claim is single-dataset without this
B_eval,EV-RASMD-small-adversarial-snua_go_weak,RASMD,small,adversarial,snua_go_weak,"MISSING (checkpoint yolo26s_rasmd_pgd exists, never attacked with SWIR)",P1,0.04,RASMD has never been probed with any SWIR-domain attack -- the whole SWIR-attack paper claim is single-dataset without this
B_eval,EV-NSLSRsafe-small-standard-aria_medium,NSLSR-safesplit,small,standard,aria_medium,MISSING (checkpoint exists),P2,0.05,small-model SWIR-attack numbers exist for NO training recipe; nano-only argument is weaker
B_eval,EV-NSLSRsafe-small-standard-combined_medium,NSLSR-safesplit,small,standard,combined_medium,MISSING (checkpoint exists),P2,0.05,small-model SWIR-attack numbers exist for NO training recipe; nano-only argument is weaker
B_eval,EV-NSLSRsafe-small-standard-snua_go_medium,NSLSR-safesplit,small,standard,snua_go_medium,MISSING (checkpoint exists),P2,0.05,small-model SWIR-attack numbers exist for NO training recipe; nano-only argument is weaker
B_eval,EV-NSLSRsafe-small-standard-snua_go_weak,NSLSR-safesplit,small,standard,snua_go_weak,MISSING (checkpoint exists),P2,0.05,small-model SWIR-attack numbers exist for NO training recipe; nano-only argument is weaker
B_eval,EV-NSLSRsafe-small-adversarial-aria_medium,NSLSR-safesplit,small,adversarial,aria_medium,MISSING (checkpoint exists),P2,0.05,small-model SWIR-attack numbers exist for NO training recipe; nano-only argument is weaker
B_eval,EV-NSLSRsafe-small-adversarial-combined_medium,NSLSR-safesplit,small,adversarial,combined_medium,MISSING (checkpoint exists),P2,0.05,small-model SWIR-attack numbers exist for NO training recipe; nano-only argument is weaker
B_eval,EV-NSLSRsafe-small-adversarial-snua_go_medium,NSLSR-safesplit,small,adversarial,snua_go_medium,MISSING (checkpoint exists),P2,0.05,small-model SWIR-attack numbers exist for NO training recipe; nano-only argument is weaker
B_eval,EV-NSLSRsafe-small-adversarial-snua_go_weak,NSLSR-safesplit,small,adversarial,snua_go_weak,MISSING (checkpoint exists),P2,0.05,small-model SWIR-attack numbers exist for NO training recipe; nano-only argument is weaker
B_eval,EV-NSLSRsafe-nano-D1_pgd_at-random_fpn_medium,NSLSR-safesplit,nano,pgd_at,random_fpn_medium,MISSING (only D0 has matched random controls),P2,0.04,control condition for each defense -- is the defense doing better than seeing the random-perturbation version? Currently answerable only for standard training
B_eval,EV-NSLSRsafe-nano-D1_pgd_at-random_radiometric_medium,NSLSR-safesplit,nano,pgd_at,random_radiometric_medium,MISSING (only D0 has matched random controls),P2,0.04,control condition for each defense -- is the defense doing better than seeing the random-perturbation version? Currently answerable only for standard training
B_eval,EV-NSLSRsafe-nano-D2_random_swir_aug-random_fpn_medium,NSLSR-safesplit,nano,random_swir_aug,random_fpn_medium,MISSING (only D0 has matched random controls),P2,0.04,control condition for each defense -- is the defense doing better than seeing the random-perturbation version? Currently answerable only for standard training
B_eval,EV-NSLSRsafe-nano-D2_random_swir_aug-random_radiometric_medium,NSLSR-safesplit,nano,random_swir_aug,random_radiometric_medium,MISSING (only D0 has matched random controls),P2,0.04,control condition for each defense -- is the defense doing better than seeing the random-perturbation version? Currently answerable only for standard training
B_eval,EV-NSLSRsafe-nano-D3_snua_at-random_fpn_medium,NSLSR-safesplit,nano,snua_at,random_fpn_medium,MISSING (only D0 has matched random controls),P2,0.04,control condition for each defense -- is the defense doing better than seeing the random-perturbation version? Currently answerable only for standard training
B_eval,EV-NSLSRsafe-nano-D3_snua_at-random_radiometric_medium,NSLSR-safesplit,nano,snua_at,random_radiometric_medium,MISSING (only D0 has matched random controls),P2,0.04,control condition for each defense -- is the defense doing better than seeing the random-perturbation version? Currently answerable only for standard training
B_eval,EV-NSLSRsafe-nano-D5_mixed_swir_at-random_fpn_medium,NSLSR-safesplit,nano,mixed_swir_at,random_fpn_medium,MISSING (only D0 has matched random controls),P2,0.04,control condition for each defense -- is the defense doing better than seeing the random-perturbation version? Currently answerable only for standard training
B_eval,EV-NSLSRsafe-nano-D5_mixed_swir_at-random_radiometric_medium,NSLSR-safesplit,nano,mixed_swir_at,random_radiometric_medium,MISSING (only D0 has matched random controls),P2,0.04,control condition for each defense -- is the defense doing better than seeing the random-perturbation version? Currently answerable only for standard training
B_eval,EV-NSLSRsafe-nano-standard-snua_go_strong,NSLSR-safesplit,nano,standard,snua_go_strong,MISSING (strong severity never measured),P3,0.04,shows the failure surface -- how quickly does robustness degrade as budget grows? Currently the medium point is the only data point per attack
B_eval,EV-NSLSRsafe-nano-standard-aria_strong,NSLSR-safesplit,nano,standard,aria_strong,MISSING (strong severity never measured),P3,0.04,shows the failure surface -- how quickly does robustness degrade as budget grows? Currently the medium point is the only data point per attack
B_eval,EV-NSLSRsafe-nano-standard-combined_strong,NSLSR-safesplit,nano,standard,combined_strong,MISSING (strong severity never measured),P3,0.04,shows the failure surface -- how quickly does robustness degrade as budget grows? Currently the medium point is the only data point per attack
B_eval,EV-NSLSRsafe-nano-pgd_at-snua_go_strong,NSLSR-safesplit,nano,pgd_at,snua_go_strong,MISSING (strong severity never measured),P3,0.04,shows the failure surface -- how quickly does robustness degrade as budget grows? Currently the medium point is the only data point per attack
B_eval,EV-NSLSRsafe-nano-pgd_at-aria_strong,NSLSR-safesplit,nano,pgd_at,aria_strong,MISSING (strong severity never measured),P3,0.04,shows the failure surface -- how quickly does robustness degrade as budget grows? Currently the medium point is the only data point per attack
B_eval,EV-NSLSRsafe-nano-pgd_at-combined_strong,NSLSR-safesplit,nano,pgd_at,combined_strong,MISSING (strong severity never measured),P3,0.04,shows the failure surface -- how quickly does robustness degrade as budget grows? Currently the medium point is the only data point per attack
B_eval,EV-NSLSRsafe-nano-random_swir_aug-snua_go_strong,NSLSR-safesplit,nano,random_swir_aug,snua_go_strong,MISSING (strong severity never measured),P3,0.04,shows the failure surface -- how quickly does robustness degrade as budget grows? Currently the medium point is the only data point per attack
B_eval,EV-NSLSRsafe-nano-random_swir_aug-aria_strong,NSLSR-safesplit,nano,random_swir_aug,aria_strong,MISSING (strong severity never measured),P3,0.04,shows the failure surface -- how quickly does robustness degrade as budget grows? Currently the medium point is the only data point per attack
B_eval,EV-NSLSRsafe-nano-random_swir_aug-combined_strong,NSLSR-safesplit,nano,random_swir_aug,combined_strong,MISSING (strong severity never measured),P3,0.04,shows the failure surface -- how quickly does robustness degrade as budget grows? Currently the medium point is the only data point per attack
B_eval,EV-NSLSRsafe-nano-snua_at-snua_go_strong,NSLSR-safesplit,nano,snua_at,snua_go_strong,MISSING (strong severity never measured),P3,0.04,shows the failure surface -- how quickly does robustness degrade as budget grows? Currently the medium point is the only data point per attack
B_eval,EV-NSLSRsafe-nano-snua_at-aria_strong,NSLSR-safesplit,nano,snua_at,aria_strong,MISSING (strong severity never measured),P3,0.04,shows the failure surface -- how quickly does robustness degrade as budget grows? Currently the medium point is the only data point per attack
B_eval,EV-NSLSRsafe-nano-snua_at-combined_strong,NSLSR-safesplit,nano,snua_at,combined_strong,MISSING (strong severity never measured),P3,0.04,shows the failure surface -- how quickly does robustness degrade as budget grows? Currently the medium point is the only data point per attack
B_eval,EV-NSLSRsafe-nano-mixed_swir_at-snua_go_strong,NSLSR-safesplit,nano,mixed_swir_at,snua_go_strong,MISSING (strong severity never measured),P3,0.04,shows the failure surface -- how quickly does robustness degrade as budget grows? Currently the medium point is the only data point per attack
B_eval,EV-NSLSRsafe-nano-mixed_swir_at-aria_strong,NSLSR-safesplit,nano,mixed_swir_at,aria_strong,MISSING (strong severity never measured),P3,0.04,shows the failure surface -- how quickly does robustness degrade as budget grows? Currently the medium point is the only data point per attack
B_eval,EV-NSLSRsafe-nano-mixed_swir_at-combined_strong,NSLSR-safesplit,nano,mixed_swir_at,combined_strong,MISSING (strong severity never measured),P3,0.04,shows the failure surface -- how quickly does robustness degrade as budget grows? Currently the medium point is the only data point per attack
C_diagnostic,DIAG-aria_strong_check,,,,,NOT RUN -- ARIA at strong severity (eps_field=0.20) vs random_radiometric strong,P1,0.05,script exists (robustness/experiments/aria_strong_check.py) but no log/results on disk. Needed BEFORE ARIA can be reported as either a real attack or a paper limitation
C_diagnostic,DIAG-SNUA_vs_random_on_defenses,,,,,"NOT RUN -- SNUA vs random-FPN comparison run against D1/D2/D3/D5, not just D0",P2,0.2,"currently the 'is it optimization or just augmentation?' argument holds for D0 only; if it fails on the AT defenses, the interpretation of D3 changes"
C_diagnostic,DIAG-test_set_bootstrap_CIs,,,,,NOT RUN -- Per-image bootstrap of mAP50 on the 144-image test split,P2,0.3,"seed-std is 0.001-0.014 mAP50, but that under-states real uncertainty because the split is only 144 images. Bootstrap CIs are what a reviewer will ask for on a small test set"
C_diagnostic,DIAG-val_test_composition_audit,,,,,NOT RUN -- Investigate why test mAP50 is systematically 0.24-0.35 HIGHER than val on identical checkpoints,P1,0.5,"found in the defense-matrix val->test delta -- suggests val split is systematically harder. If real, every val number in the aggregate table is pessimistic; if a split bug, may need re-splitting and re-running"
C_diagnostic,DIAG-class_balance_check_NSLSR,,,,,NOT RUN -- Small-object vs large-object ship recall breakdown on val vs test,P2,0.2,"if val is harder because it over-samples small ships, that CAUSES the val->test gap and explains the finding; if not, the gap is more concerning"
